x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date,,,,X-accel,Y-accel,Z-accel
-0.318939,-0.824829,-0.576141,1.055464,44035.10119,2001-01-01 12:13:55.101 +0000,,,,-17.58852997,-51.39674557,-33.08381846
-0.302078,-0.811462,-0.652191,1.084009,44035.0816,2001-01-01 12:13:55.082 +0000,,,,-16.18069409,-48.46710789,-36.9879761
-0.345978,-0.8237,-0.646545,1.102816,44035.062,2001-01-01 12:13:55.062 +0000,,,,-18.28370104,-48.32308777,-35.89257661
-0.403107,-0.839676,-0.613708,1.115432,44035.04241,2001-01-01 12:13:55.042 +0000,,,,-21.18564231,-48.8318539,-33.38057019
-0.41983,-0.845322,-0.655518,1.149143,44035.02282,2001-01-01 12:13:55.023 +0000,,,,-21.42861485,-47.35883671,-34.78095628
-0.357315,-0.811829,-0.710632,1.136547,44035.00323,2001-01-01 12:13:55.003 +0000,,,,-18.32378656,-45.58541251,-38.70094278
-0.202972,-0.813751,-0.656616,1.065145,44034.98363,2001-01-01 12:13:54.984 +0000,,,,-10.98536063,-49.81649048,-38.05787868
-0.187408,-0.792679,-0.661194,1.049113,44034.96408,2001-01-01 12:13:54.964 +0000,,,,-10.29024044,-49.07522322,-39.06787933
-0.393707,-0.810532,-0.675461,1.12615,44034.94448,2001-01-01 12:13:54.944 +0000,,,,-20.46311201,-46.03275979,-36.85531793
-0.540237,-0.849915,-0.576035,1.160184,44034.92489,2001-01-01 12:13:54.925 +0000,,,,-27.75213756,-47.10218859,-29.76890725
-0.43364,-0.800156,-0.435989,1.009148,44034.9053,2001-01-01 12:13:54.905 +0000,,,,-25.44909584,-52.45759163,-25.59688611
-0.271378,-0.764984,-0.66362,1.048446,44034.88571,2001-01-01 12:13:54.886 +0000,,,,-15.0011503,-46.85591948,-39.26855735
-0.19902,-0.776535,-0.69577,1.061467,44034.86612,2001-01-01 12:13:54.866 +0000,,,,-10.80664842,-47.01800439,-40.95604517
-0.063248,-0.778244,-0.678635,1.034509,44034.84652,2001-01-01 12:13:54.847 +0000,,,,-3.505144808,-48.78854817,-40.99529187
0.041443,-0.668259,-0.85022,1.082202,44034.82693,2001-01-01 12:13:54.827 +0000,,,,2.194682036,-38.1337419,-51.77979389
-0.033676,-0.531342,-1.007614,1.139625,44034.80734,2001-01-01 12:13:54.807 +0000,,,,-1.693341403,-27.79069588,-62.14870064
-0.136627,-0.566727,-1.01326,1.168992,44034.78775,2001-01-01 12:13:54.788 +0000,,,,-6.711836543,-28.99935271,-60.08669565
0.010529,-0.659897,-0.822083,1.054227,44034.76815,2001-01-01 12:13:54.768 +0000,,,,0.572245906,-38.75218455,-51.24196329
0.124863,-0.667435,-0.753281,1.014146,44034.74856,2001-01-01 12:13:54.749 +0000,,,,7.07227635,-41.15703409,-47.96822165
0.019302,-0.615692,-0.768295,0.984747,44034.72897,2001-01-01 12:13:54.729 +0000,,,,1.123125148,-38.6989753,-51.27847188
-0.150116,-0.632919,-0.768555,1.006875,44034.70938,2001-01-01 12:13:54.709 +0000,,,,-8.574249081,-38.94669885,-49.75660705
-0.11763,-0.695663,-0.755859,1.033977,44034.68978,2001-01-01 12:13:54.690 +0000,,,,-6.532380911,-42.28382912,-46.97211655
0.078293,-0.717621,-0.772629,1.057386,44034.67019,2001-01-01 12:13:54.670 +0000,,,,4.246289828,-42.74015478,-46.94487323
0.148941,-0.681351,-0.770081,1.038964,44034.6506,2001-01-01 12:13:54.651 +0000,,,,8.242045745,-40.98019578,-47.83377711
0.033768,-0.652161,-0.730011,0.979474,44034.63101,2001-01-01 12:13:54.631 +0000,,,,1.975699598,-41.74583617,-48.18563294
-0.055618,-0.656235,-0.752213,0.999781,44034.61142,2001-01-01 12:13:54.611 +0000,,,,-3.189020914,-41.02427525,-48.79676766
-0.029953,-0.740372,-0.803925,1.093317,44034.59179,2001-01-01 12:13:54.592 +0000,,,,-1.569896371,-42.6236142,-47.33323746
0.032104,-0.746552,-0.796417,1.092085,44034.5722,2001-01-01 12:13:54.572 +0000,,,,1.684564885,-43.12577741,-46.8246068
0.169128,-0.734894,-0.697479,1.027205,44034.55261,2001-01-01 12:13:54.553 +0000,,,,9.476827902,-45.67850036,-42.7660587
0.144073,-0.65863,-0.624176,0.918775,44034.53302,2001-01-01 12:13:54.533 +0000,,,,9.02178587,-45.79561521,-42.79343988
0.032944,-0.69043,-0.69696,0.981597,44034.51342,2001-01-01 12:13:54.513 +0000,,,,1.923301772,-44.69836352,-45.2370981
0.002213,-0.718262,-0.750183,1.038595,44034.49383,2001-01-01 12:13:54.494 +0000,,,,0.122083824,-43.75457893,-46.24516223
0.128983,-0.731506,-0.717346,1.032629,44034.47424,2001-01-01 12:13:54.474 +0000,,,,7.175407277,-45.10421792,-44.00166141
0.164993,-0.690552,-0.66655,0.973844,44034.45465,2001-01-01 12:13:54.455 +0000,,,,9.754350278,-45.16162541,-43.19252538
0.073746,-0.637466,-0.704208,0.952739,44034.43505,2001-01-01 12:13:54.435 +0000,,,,4.439377851,-41.99673465,-47.65829902
-0.013474,-0.682709,-0.745728,1.011129,44034.41546,2001-01-01 12:13:54.415 +0000,,,,-0.763528315,-42.46923774,-47.52054989
0.050842,-0.705841,-0.695847,0.992471,44034.39587,2001-01-01 12:13:54.396 +0000,,,,2.936414779,-45.33225298,-44.51737332
0.193817,-0.692459,-0.620316,0.949661,44034.37628,2001-01-01 12:13:54.376 +0000,,,,11.77627343,-46.81637557,-40.78308969
