x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date,,,,X-axis,Y-axis,Z-axis
-0.05452,-0.96228,-0.195251,0.983402,39660.40474,2001-01-01 11:01:00.405 +0000,,,,-3.236618505,-87.55459877,-11.86984503
-0.01651,-0.959351,-0.313461,1.009398,39660.38515,2001-01-01 11:01:00.385 +0000,,,,-0.928587511,-84.13598533,-18.80301372
0.012177,-0.974579,-0.208862,0.996783,39660.36556,2001-01-01 11:01:00.366 +0000,,,,0.702271415,-87.42838394,-12.40008051
0.057312,-0.972763,-0.231506,1.001573,39660.34597,2001-01-01 11:01:00.346 +0000,,,,3.280596362,-86.6535956,-13.70171156
0.01532,-0.962372,-0.301651,1.008656,39660.3264,2001-01-01 11:01:00.326 +0000,,,,0.862903442,-84.58483125,-18.0361963
0.013367,-0.955566,-0.353989,1.019114,39660.30681,2001-01-01 11:01:00.307 +0000,,,,0.737499651,-82.51861272,-21.18631554
-0.014114,-0.941742,-0.3246,0.996214,39660.28722,2001-01-01 11:01:00.287 +0000,,,,-0.814939472,-83.60414279,-20.09862435
0.007385,-0.949265,-0.279266,0.989519,39660.26763,2001-01-01 11:01:00.268 +0000,,,,0.432156171,-85.29998662,-17.21803255
0.021194,-0.945557,-0.360367,1.012122,39660.24803,2001-01-01 11:01:00.248 +0000,,,,1.185763362,-82.15311589,-21.94241079
0.02005,-0.934845,-0.368439,1.005029,39660.22844,2001-01-01 11:01:00.228 +0000,,,,1.137614516,-81.71379485,-22.85018601
0.016098,-0.928085,-0.315735,0.980454,39660.20885,2001-01-01 11:01:00.209 +0000,,,,0.959658782,-83.85336842,-20.12543901
0.005951,-0.921188,-0.348633,0.984971,39660.18926,2001-01-01 11:01:00.189 +0000,,,,0.351460222,-82.48143567,-22.33394348
0.004837,-0.915695,-0.410263,1.003413,39660.16967,2001-01-01 11:01:00.170 +0000,,,,0.27526218,-79.58319597,-26.07111481
0.010071,-0.902374,-0.444489,1.005958,39660.15007,2001-01-01 11:01:00.150 +0000,,,,0.570249689,-77.64409496,-28.62572623
0.015457,-0.895554,-0.380753,0.973256,39660.13048,2001-01-01 11:01:00.130 +0000,,,,0.935112744,-80.78979815,-25.38915372
-0.013168,-0.883957,-0.379456,0.96205,39660.11089,2001-01-01 11:01:00.111 +0000,,,,-0.815265785,-80.73745456,-25.8972758
-0.005753,-0.864792,-0.502319,1.000111,39660.0913,2001-01-01 11:01:00.091 +0000,,,,-0.329556512,-73.73207436,-33.88692024
0.049454,-0.872513,-0.579819,1.048768,39660.07173,2001-01-01 11:01:00.072 +0000,,,,2.58010929,-68.78799926,-37.20573347
0.031525,-0.841568,-0.611557,1.040785,39660.05214,2001-01-01 11:01:00.052 +0000,,,,1.668521852,-65.98264096,-40.77062057
0.02182,-0.834579,-0.558014,1.004181,39660.03255,2001-01-01 11:01:00.033 +0000,,,,1.240198954,-69.51087785,-38.68062565
0.007095,-0.835175,-0.538162,0.993572,39660.01296,2001-01-01 11:01:00.013 +0000,,,,0.411804168,-70.87161897,-37.64959896
0.001465,-0.82103,-0.575912,1.002879,39659.99337,2001-01-01 11:00:59.993 +0000,,,,0.083457138,-68.00245334,-40.50897834
0.030914,-0.809738,-0.628998,1.025802,39659.97377,2001-01-01 11:00:59.974 +0000,,,,1.684303001,-63.90527362,-43.7686754
0.004929,-0.790009,-0.605301,0.995252,39659.95418,2001-01-01 11:00:59.954 +0000,,,,0.285116171,-65.11768786,-44.12218151
-0.016953,-0.788788,-0.579727,0.979059,39659.93459,2001-01-01 11:00:59.935 +0000,,,,-1.0135287,-66.90465941,-42.96358047
0.003311,-0.775101,-0.628555,0.997935,39659.915,2001-01-01 11:00:59.915 +0000,,,,0.190493713,-62.99069059,-46.29369717
0.027817,-0.765427,-0.647873,1.00319,39659.89543,2001-01-01 11:00:59.895 +0000,,,,1.584488881,-61.21631952,-47.83900129
0.022324,-0.751694,-0.64653,0.991737,39659.87584,2001-01-01 11:00:59.876 +0000,,,,1.300908214,-60.8934902,-48.82268572
0.009354,-0.731812,-0.671631,0.99334,39659.85625,2001-01-01 11:00:59.856 +0000,,,,0.543187284,-58.34539729,-51.42708874
0.021622,-0.722183,-0.77504,1.059577,39659.83666,2001-01-01 11:00:59.837 +0000,,,,1.10377576,-50.22556415,-56.0383941
0.00148,-0.697845,-0.744812,1.020654,39659.81707,2001-01-01 11:00:59.817 +0000,,,,0.081400641,-51.51729717,-56.82163088
0.003815,-0.692261,-0.678696,0.969468,39659.79747,2001-01-01 11:00:59.797 +0000,,,,0.232570491,-56.35949861,-54.77337587
0.01207,-0.679001,-0.731094,0.997841,39659.77788,2001-01-01 11:00:59.778 +0000,,,,0.694623658,-51.78317136,-57.75549006
0.004013,-0.657776,-0.746902,0.995263,39659.75832,2001-01-01 11:00:59.758 +0000,,,,0.232124495,-49.69776722,-59.91599867
0.006424,-0.641693,-0.822723,1.043401,39659.73873,2001-01-01 11:00:59.739 +0000,,,,0.33809413,-43.46993351,-63.40990255
-0.034073,-0.619339,-0.687592,0.926026,39659.71913,2001-01-01 11:00:59.719 +0000,,,,-2.278483136,-52.57529497,-60.77082769
-0.022964,-0.602783,-0.766403,0.97532,39659.69954,2001-01-01 11:00:59.700 +0000,,,,-1.383670546,-45.71609084,-64.60245415
0.016663,-0.598984,-0.794785,0.99536,39659.67995,2001-01-01 11:00:59.680 +0000,,,,0.963819527,-43.46542134,-65.68800794
0.038055,-0.588028,-0.830521,1.018327,39659.66036,2001-01-01 11:00:59.660 +0000,,,,2.104608089,-40.38843057,-67.31111941
0.022751,-0.562042,-0.856857,1.024994,39659.64076,2001-01-01 11:00:59.641 +0000,,,,1.241156505,-37.41500696,-69.73248846
-0.018845,-0.528046,-0.845871,0.997339,39659.6212,2001-01-01 11:00:59.621 +0000,,,,-1.085765669,-36.4141922,-71.73403991
0.007126,-0.524796,-0.801041,0.957668,39659.60161,2001-01-01 11:00:59.602 +0000,,,,0.445198474,-39.27627182,-71.02295522
0.009949,-0.500854,-0.843872,0.981363,39659.58202,2001-01-01 11:00:59.582 +0000,,,,0.591931907,-35.11605234,-73.4383856
0.002441,-0.472107,-0.897949,1.014497,39659.56243,2001-01-01 11:00:59.562 +0000,,,,0.135891069,-30.3493756,-76.0596604
-0.043182,-0.424835,-0.93782,1.030464,39659.54283,2001-01-01 11:00:59.543 +0000,,,,-2.33282996,-25.73481411,-78.99672108
