x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date,,,,,X,Y,Z,,X,Y,Z
-0.208923,-0.420013,-0.906219,1.020438,86395.5542,2001-01-01 23:59:55.554 +0000,,,,,-0.209169568,-0.451631661,-0.517651092,,-0.206196705,-0.424209988,-0.477668563
-0.178802,-0.434891,-0.907928,1.022465,86395.54441,2001-01-01 23:59:55.544 +0000,,,,,-0.177610375,-0.469966156,-0.517896878,,-0.175777346,-0.439333166,-0.477862387
-0.138504,-0.438934,-0.922684,1.031112,86395.53461,2001-01-01 23:59:55.535 +0000,,,,,-0.135553343,-0.470443606,-0.498835749,,-0.134732127,-0.439724169,-0.462715774
-0.11232,-0.45018,-0.927689,1.037248,86395.52482,2001-01-01 23:59:55.525 +0000,,,,,-0.108926998,-0.48175219,-0.500146497,,-0.10849923,-0.448943083,-0.4637648
-0.082047,-0.450851,-0.913269,1.021792,86395.51502,2001-01-01 23:59:55.515 +0000,,,,,-0.080557297,-0.491687036,-0.501775219,,-0.080383715,-0.45697515,-0.465066775
-0.073105,-0.438553,-0.889099,0.994067,86395.50519,2001-01-01 23:59:55.505 +0000,,,,,-0.073740965,-0.491596554,-0.500061751,,-0.073607738,-0.456902281,-0.463697008
-0.073502,-0.415146,-0.87677,0.972869,86395.4954,2001-01-01 23:59:55.495 +0000,,,,,-0.075768339,-0.471839636,-0.480858825,,-0.075623845,-0.440866607,-0.448217746
-0.092667,-0.41423,-0.862549,0.961335,86395.48562,2001-01-01 23:59:55.486 +0000,,,,,-0.096845089,-0.477491675,-0.49210965,,-0.096544012,-0.445479355,-0.457315428
-0.089752,-0.456635,-0.839111,0.95952,86395.47583,2001-01-01 23:59:55.476 +0000,,,,,-0.093950367,-0.541102558,-0.554601042,,-0.093675398,-0.495986507,-0.506368816
-0.065491,-0.461319,-0.859955,0.978073,86395.46603,2001-01-01 23:59:55.466 +0000,,,,,-0.067109825,-0.534896612,-0.541824299,,-0.067009348,-0.491173622,-0.496544619
-0.036835,-0.450638,-0.893799,1.001652,86395.45623,2001-01-01 23:59:55.456 +0000,,,,,-0.036799115,-0.503755099,-0.50586422,,-0.036782518,-0.466647174,-0.468327972
-0.012863,-0.442413,-0.891235,0.995086,86395.44644,2001-01-01 23:59:55.446 +0000,,,,,-0.012927612,-0.496352734,-0.496614197,,-0.012926891,-0.460725541,-0.4609353
0.003952,-0.440262,-0.914078,1.014586,86395.43664,2001-01-01 23:59:55.437 +0000,,,,,0.003895214,-0.481641485,-0.481665391,,0.003895195,-0.448853227,-0.448872632
-0.007614,-0.447647,-0.939789,1.040985,86395.42685,2001-01-01 23:59:55.427 +0000,,,,,-0.007314424,-0.476311501,-0.47639603,,-0.007314294,-0.444517859,-0.444586755
-0.012009,-0.456345,-0.925735,1.032173,86395.41705,2001-01-01 23:59:55.417 +0000,,,,,-0.01163547,-0.492912774,-0.493124906,,-0.011634945,-0.457961771,-0.458132423
-0.05188,-0.453232,-0.89035,1.000417,86395.40725,2001-01-01 23:59:55.407 +0000,,,,,-0.051928254,-0.508187257,-0.512373342,,-0.051881654,-0.470175942,-0.473497213
-0.056747,-0.441757,-0.885941,0.991595,86395.39746,2001-01-01 23:59:55.397 +0000,,,,,-0.057321936,-0.497610526,-0.502727468,,-0.057259277,-0.461734204,-0.465827202
-0.063858,-0.438858,-0.89534,0.999154,86395.38766,2001-01-01 23:59:55.388 +0000,,,,,-0.06404303,-0.488915969,-0.495319808,,-0.063955687,-0.454741131,-0.45989645
-0.045898,-0.434235,-0.912231,1.011352,86395.37786,2001-01-01 23:59:55.378 +0000,,,,,-0.04542964,-0.475412926,-0.478665972,,-0.045398425,-0.443785193,-0.446435188
-0.017593,-0.430969,-0.916245,1.012693,86395.36807,2001-01-01 23:59:55.368 +0000,,,,,-0.0173751,-0.470277683,-0.47075612,,-0.017373352,-0.439588304,-0.43998002
0.010925,-0.415588,-0.923279,1.01256,86395.35827,2001-01-01 23:59:55.358 +0000,,,,,0.010790117,-0.450090285,-0.450277298,,0.010789698,-0.422929005,-0.423084504
0.036194,-0.391388,-0.935379,1.014608,86395.34848,2001-01-01 23:59:55.348 +0000,,,,,0.035695626,-0.418114287,-0.420212529,,0.035680477,-0.39602396,-0.397808639
0.041321,-0.373047,-0.956757,1.027742,86395.33868,2001-01-01 23:59:55.339 +0000,,,,,0.040238116,-0.389544651,-0.392292409,,0.040216421,-0.371460779,-0.373844294
0.028198,-0.386612,-0.950668,1.026662,86395.32888,2001-01-01 23:59:55.329 +0000,,,,,0.027476091,-0.406495268,-0.407754298,,0.02746918,-0.386093175,-0.387173192
0.017242,-0.423126,-0.891602,0.987059,86395.31909,2001-01-01 23:59:55.319 +0000,,,,,0.017470706,-0.474479538,-0.474962093,,0.017468929,-0.4430236,-0.443417407
0.021439,-0.429565,-0.882553,0.981777,86395.30929,2001-01-01 23:59:55.309 +0000,,,,,0.021842149,-0.486586429,-0.487335789,,0.021838677,-0.452859284,-0.453465009
-0.012772,-0.417435,-0.916611,1.007269,86395.2995,2001-01-01 23:59:55.299 +0000,,,,,-0.01268085,-0.455367089,-0.455624406,,-0.01268017,-0.427308226,-0.427521329
-0.014709,-0.412506,-0.948624,1.034536,86395.2897,2001-01-01 23:59:55.290 +0000,,,,,-0.014219403,-0.434794419,-0.435123042,,-0.014218445,-0.410137273,-0.410413616
-0.005936,-0.409546,-0.962814,1.046315,86395.2799,2001-01-01 23:59:55.280 +0000,,,,,-0.005673338,-0.425355486,-0.425408247,,-0.005673277,-0.402171709,-0.402216386
0.000397,-0.407639,-0.962723,1.045469,86395.27011,2001-01-01 23:59:55.270 +0000,,,,,0.000379734,-0.423422901,-0.423423138,,0.000379734,-0.400534072,-0.400534273
0.008545,-0.404556,-0.954224,1.036476,86395.26031,2001-01-01 23:59:55.260 +0000,,,,,0.008244564,-0.423946348,-0.424057908,,0.008244377,-0.400977857,-0.401072417
0.011658,-0.400925,-0.943924,1.025607,86395.25052,2001-01-01 23:59:55.251 +0000,,,,,0.011367664,-0.424710491,-0.424922407,,0.011367174,-0.401625405,-0.401804924
0.007736,-0.397324,-0.938263,1.018952,86395.24072,2001-01-01 23:59:55.241 +0000,,,,,0.007592331,-0.423453227,-0.423547879,,0.007592185,-0.400559788,-0.400640045
0.000092,-0.381668,-0.968185,1.040699,86395.23092,2001-01-01 23:59:55.231 +0000,,,,,8.84022E-05,-0.394209783,-0.394209796,,8.84022E-05,-0.375504866,-0.375504877
0.012909,-0.409729,-0.982513,1.064602,86395.22113,2001-01-01 23:59:55.221 +0000,,,,,0.012126556,-0.416985464,-0.417228379,,0.012125961,-0.395062727,-0.395269643
0.016739,-0.40242,-0.9561,1.037473,86395.2113,2001-01-01 23:59:55.211 +0000,,,,,0.016136503,-0.420832905,-0.42126136,,0.016135103,-0.398335792,-0.398699729
-0.028107,-0.38414,-0.93988,1.01574,86395.2015,2001-01-01 23:59:55.202 +0000,,,,,-0.027682049,-0.408529117,-0.40980434,,-0.027674981,-0.387837372,-0.388929717
-0.020233,-0.397278,-0.900345,0.984307,86395.19171,2001-01-01 23:59:55.192 +0000,,,,,-0.020559922,-0.441139477,-0.441822735,,-0.020557026,-0.415461129,-0.416032938
0.036728,-0.369934,-0.88768,0.96238,86395.18191,2001-01-01 23:59:55.182 +0000,,,,,0.038191529,-0.416386264,-0.418791405,,0.038172976,-0.394552173,-0.396600181
-0.001495,-0.370895,-0.902664,0.975894,86395.17212,2001-01-01 23:59:55.172 +0000,,,,,-0.001531932,-0.41088876,-0.410892661,,-0.00153193,-0.389857853,-0.389861191
-0.020355,-0.39061,-0.910919,0.991345,86395.16232,2001-01-01 23:59:55.162 +0000,,,,,-0.020537051,-0.428701691,-0.429390536,,-0.020534164,-0.405001831,-0.405583586
-0.02388,-0.40242,-0.923157,1.007338,86395.15252,2001-01-01 23:59:55.153 +0000,,,,,-0.023712696,-0.435771412,-0.436684019,,-0.023708253,-0.410958641,-0.411725347
-0.037521,-0.411133,-0.937912,1.024752,86395.14273,2001-01-01 23:59:55.143 +0000,,,,,-0.036639273,-0.437998883,-0.44017091,,-0.036622891,-0.4128291,-0.414650054
-0.032196,-0.403748,-0.932373,1.016547,86395.13293,2001-01-01 23:59:55.133 +0000,,,,,-0.031687812,-0.432774758,-0.43440733,,-0.031677212,-0.408437464,-0.409811681
-0.044556,-0.396164,-0.94075,1.021735,86395.12313,2001-01-01 23:59:55.123 +0000,,,,,-0.043649714,-0.420643543,-0.423770078,,-0.043622024,-0.39817491,-0.400828432
-0.033966,-0.418747,-0.922699,1.013842,86395.11334,2001-01-01 23:59:55.113 +0000,,,,,-0.03352107,-0.453521211,-0.455318897,,-0.033508523,-0.425778306,-0.42726831
0.001694,-0.420792,-0.905167,0.998196,86395.10354,2001-01-01 23:59:55.104 +0000,,,,,0.001697063,-0.464876938,-0.464881519,,0.001697062,-0.435156484,-0.435160251
-0.001968,-0.386169,-0.920593,0.99831,86395.09375,2001-01-01 23:59:55.094 +0000,,,,,-0.001971336,-0.419477573,-0.419483979,,-0.001971334,-0.397183819,-0.397189267
-0.007217,-0.354675,-0.923065,0.988886,86395.08395,2001-01-01 23:59:55.084 +0000,,,,,-0.007298306,-0.38422447,-0.384315751,,-0.007298176,-0.36683325,-0.366912787
0.005066,-0.353867,-0.945953,1.009988,86395.07415,2001-01-01 23:59:55.074 +0000,,,,,0.005015967,-0.374079817,-0.374123514,,0.005015925,-0.357963691,-0.358002023
0.011826,-0.36113,-0.983414,1.047691,86395.06436,2001-01-01 23:59:55.064 +0000,,,,,0.011288391,-0.367194174,-0.36741757,,0.011287912,-0.351909706,-0.352106546
-0.007278,-0.365402,-1.00061,1.065267,86395.05456,2001-01-01 23:59:55.055 +0000,,,,,-0.006832255,-0.365169581,-0.36525167,,-0.006832149,-0.350124492,-0.35019692
-0.035324,-0.370605,-0.960953,1.030547,86395.04477,2001-01-01 23:59:55.045 +0000,,,,,-0.034297106,-0.385403723,-0.38741191,,-0.034283668,-0.367860401,-0.369607697
-0.061157,-0.38736,-0.911133,0.991943,86395.03497,2001-01-01 23:59:55.035 +0000,,,,,-0.061771246,-0.424186525,-0.430407049,,-0.061692859,-0.401181425,-0.406441537
-0.045441,-0.384674,-0.915009,0.993619,86395.02517,2001-01-01 23:59:55.025 +0000,,,,,-0.045780681,-0.419887144,-0.423327686,,-0.045748738,-0.397532054,-0.40045333
-0.039124,-0.364395,-0.946091,1.014595,86395.01538,2001-01-01 23:59:55.015 +0000,,,,,-0.038589909,-0.384829603,-0.38737214,,-0.03857077,-0.367360433,-0.369573116
-0.045547,-0.357986,-0.953888,1.019868,86395.00558,2001-01-01 23:59:55.006 +0000,,,,,-0.044704303,-0.374864347,-0.378316813,,-0.044674558,-0.358651736,-0.361675386
-0.04213,-0.406784,-0.932114,1.017882,86394.99578,2001-01-01 23:59:54.996 +0000,,,,,-0.041425347,-0.435965052,-0.438744457,,-0.041401675,-0.411121366,-0.413454492
-0.059479,-0.482925,-0.953217,1.070223,86394.98599,2001-01-01 23:59:54.986 +0000,,,,,-0.055662305,-0.505643095,-0.510454651,,-0.055604925,-0.468151888,-0.471976307
-0.059067,-0.466446,-0.973267,1.080883,86394.97619,2001-01-01 23:59:54.976 +0000,,,,,-0.054728735,-0.478377832,-0.483085333,,-0.054674191,-0.446200734,-0.450024541
-0.04776,-0.448715,-0.99939,1.096543,86394.9664,2001-01-01 23:59:54.966 +0000,,,,,-0.043596435,-0.448477059,-0.451524994,,-0.043568846,-0.421586725,-0.424121388
-0.044144,-0.425034,-0.993515,1.081515,86394.9566,2001-01-01 23:59:54.957 +0000,,,,,-0.040850861,-0.427386668,-0.430109508,,-0.04082816,-0.403890439,-0.406190474
-0.057831,-0.385269,-0.962723,1.038562,86394.9468,2001-01-01 23:59:54.947 +0000,,,,,-0.055770224,-0.399466686,-0.404670085,,-0.05571251,-0.38004654,-0.384525818
-0.057648,-0.336151,-0.841599,0.90808,86394.93701,2001-01-01 23:59:54.937 +0000,,,,,-0.06361169,-0.398485685,-0.405250402,,-0.063526098,-0.379200252,-0.385024375
-0.054596,-0.364883,-0.793442,0.875026,86394.92721,2001-01-01 23:59:54.927 +0000,,,,,-0.062515377,-0.458788736,-0.464992883,,-0.062434127,-0.430138558,-0.435251821
-0.026657,-0.356369,-0.856476,0.928041,86394.91742,2001-01-01 23:59:54.917 +0000,,,,,-0.028735795,-0.415886162,-0.417249991,,-0.028727889,-0.39412589,-0.395288051
0.002197,-0.337036,-0.9384,0.997092,86394.90762,2001-01-01 23:59:54.908 +0000,,,,,0.002203413,-0.359159288,-0.359167903,,0.002203409,-0.344811125,-0.344818756
-0.010727,-0.378677,-1.022415,1.090341,86394.89782,2001-01-01 23:59:54.898 +0000,,,,,-0.009838682,-0.37035466,-0.370523618,,-0.009838364,-0.354691837,-0.354840407
0.003052,-0.393921,-1.01535,1.089091,86394.88803,2001-01-01 23:59:54.888 +0000,,,,,0.002802349,-0.387963973,-0.38797737,,0.002802341,-0.370087626,-0.37009927
-0.03447,-0.407135,-0.990387,1.071361,86394.87823,2001-01-01 23:59:54.878 +0000,,,,,-0.032190707,-0.410838016,-0.412557507,,-0.032179595,-0.389814438,-0.391284723
-0.064224,-0.420715,-0.977478,1.066109,86394.86843,2001-01-01 23:59:54.868 +0000,,,,,-0.060351085,-0.429482627,-0.435394769,,-0.060277973,-0.405661338,-0.410642063
-0.082947,-0.419876,-0.944305,1.036768,86394.85864,2001-01-01 23:59:54.859 +0000,,,,,-0.080262646,-0.44293474,-0.453233568,,-0.080090956,-0.416962942,-0.425539708
-0.062057,-0.410843,-0.884537,0.977266,86394.84884,2001-01-01 23:59:54.849 +0000,,,,,-0.063629042,-0.463333489,-0.469741073,,-0.06354338,-0.433886567,-0.439148788
-0.031418,-0.399384,-0.842331,0.932746,86394.83905,2001-01-01 23:59:54.839 +0000,,,,,-0.033702443,-0.47381193,-0.475606217,,-0.033689691,-0.442478532,-0.443942839
-0.060272,-0.38707,-0.856857,0.942157,86394.82925,2001-01-01 23:59:54.829 +0000,,,,,-0.064103658,-0.450618903,-0.457176022,,-0.064016067,-0.423368487,-0.428805459
-0.061356,-0.401764,-0.874405,0.964242,86394.81945,2001-01-01 23:59:54.819 +0000,,,,,-0.06376053,-0.458344315,-0.464798388,,-0.063674336,-0.429771355,-0.435091892
-0.042084,-0.453018,-0.906204,1.014003,86394.80966,2001-01-01 23:59:54.810 +0000,,,,,-0.041538627,-0.49936911,-0.502059734,,-0.04151476,-0.46314277,-0.465294038
-0.062103,-0.527023,-0.986938,1.120561,86394.79986,2001-01-01 23:59:54.800 +0000,,,,,-0.055506665,-0.532944017,-0.537692755,,-0.055449765,-0.489654176,-0.493345194
-0.059235,-0.455582,-0.939835,1.046113,86394.79007,2001-01-01 23:59:54.790 +0000,,,,,-0.056714866,-0.483786844,-0.488827021,,-0.056654174,-0.45059316,-0.45466934
-0.048523,-0.365707,-0.856201,0.932297,86394.78027,2001-01-01 23:59:54.780 +0000,,,,,-0.0521174,-0.42644324,-0.430870832,,-0.052070289,-0.403092449,-0.406832768
-0.043427,-0.322556,-0.835663,0.896806,86394.77047,2001-01-01 23:59:54.770 +0000,,,,,-0.048480951,-0.385467989,-0.389470691,,-0.048443021,-0.367916354,-0.371396562
-0.057373,-0.37262,-0.917587,0.99202,86394.76068,2001-01-01 23:59:54.761 +0000,,,,,-0.0579315,-0.405295357,-0.410872257,,-0.057866823,-0.385062988,-0.389843734
-0.064499,-0.395157,-0.941757,1.023336,86394.75088,2001-01-01 23:59:54.751 +0000,,,,,-0.063153775,-0.418614872,-0.425148189,,-0.063070014,-0.39644998,-0.401996158
-0.049957,-0.460037,-1.020218,1.120256,86394.74109,2001-01-01 23:59:54.741 +0000,,,,,-0.044638661,-0.450380663,-0.453571248,,-0.044609047,-0.423170441,-0.425819806
-0.084183,-0.47435,-1.077881,1.180645,86394.73129,2001-01-01 23:59:54.731 +0000,,,,,-0.07148451,-0.438740355,-0.446952937,,-0.071363119,-0.413451052,-0.420317098
-0.075195,-0.400024,-0.930405,1.015543,86394.72149,2001-01-01 23:59:54.721 +0000,,,,,-0.074247968,-0.428548776,-0.437476242,,-0.074111981,-0.404872649,-0.4123905
-0.045624,-0.407074,-0.898117,0.98712,86394.7117,2001-01-01 23:59:54.712 +0000,,,,,-0.046268774,-0.452669047,-0.456090623,,-0.046235799,-0.42507129,-0.427907332
-0.013306,-0.364395,-0.873032,0.946121,86394.7019,2001-01-01 23:59:54.702 +0000,,,,,-0.014065126,-0.417341729,-0.417668374,,-0.014064198,-0.395366183,-0.395644341
0.009598,-0.372894,-0.890396,0.965374,86394.6921,2001-01-01 23:59:54.692 +0000,,,,,0.009942751,-0.418771353,-0.418934387,,0.009942424,-0.396583121,-0.396721821
0.006516,-0.485886,-0.918289,1.038933,86394.68231,2001-01-01 23:59:54.682 +0000,,,,,0.006271941,-0.529107686,-0.529168584,,0.006271859,-0.486661692,-0.486709269
-0.01619,-0.543182,-0.970184,1.11201,86394.67251,2001-01-01 23:59:54.673 +0000,,,,,-0.014560768,-0.559797301,-0.560123878,,-0.014559739,-0.510334001,-0.510582621
-0.041138,-0.455811,-0.927322,1.034109,86394.66269,2001-01-01 23:59:54.663 +0000,,,,,-0.039812609,-0.491051806,-0.493532597,,-0.039791594,-0.456463463,-0.458460314
-0.06601,-0.361069,-0.869644,0.943933,86394.65292,2001-01-01 23:59:54.653 +0000,,,,,-0.070102459,-0.414000811,-0.422073083,,-0.069987961,-0.392517474,-0.399388913
-0.060699,-0.272873,-0.82106,0.867343,86394.64309,2001-01-01 23:59:54.643 +0000,,,,,-0.070154714,-0.33143787,-0.340465447,,-0.070039959,-0.320043668,-0.328155664
-0.056442,-0.340836,-0.906372,0.969982,86394.6333,2001-01-01 23:59:54.633 +0000,,,,,-0.058287471,-0.375317264,-0.381165519,,-0.058221596,-0.35904879,-0.36416507
-0.076157,-0.31424,-0.971222,1.02363,86394.6235,2001-01-01 23:59:54.623 +0000,,,,,-0.074605702,-0.322561011,-0.332917468,,-0.074467743,-0.312024338,-0.321376229
-0.056931,-0.347977,-0.972824,1.034754,86394.6137,2001-01-01 23:59:54.614 +0000,,,,,-0.055102341,-0.357086851,-0.362453396,,-0.055046674,-0.342974269,-0.347725796
-0.027161,-0.496719,-1.035782,1.149048,86394.60391,2001-01-01 23:59:54.604 +0000,,,,,-0.023644431,-0.479394611,-0.48027581,,-0.023640026,-0.447027832,-0.447744114
-0.101257,-0.5439,-1.040512,1.17845,86394.59411,2001-01-01 23:59:54.594 +0000,,,,,-0.086242803,-0.520265741,-0.531704723,,-0.086029933,-0.479728449,-0.48868852
-0.124207,-0.428223,-0.964447,1.062525,86394.58432,2001-01-01 23:59:54.584 +0000,,,,,-0.117704898,-0.440371913,-0.462309006,,-0.117165794,-0.414818421,-0.433042819
-0.11644,-0.333252,-0.88974,0.957211,86394.57452,2001-01-01 23:59:54.575 +0000,,,,,-0.122555239,-0.371383055,-0.396754937,,-0.121947125,-0.355595885,-0.377705783
-0.101212,-0.37677,-0.894699,0.976056,86394.56472,2001-01-01 23:59:54.565 +0000,,,,,-0.104256876,-0.418444774,-0.436043346,,-0.10388158,-0.396305236,-0.411187154
-0.080887,-0.475235,-0.928009,1.045749,86394.55493,2001-01-01 23:59:54.555 +0000,,,,,-0.077580784,-0.510167461,-0.519466416,,-0.077425697,-0.471748454,-0.479099188
-0.061432,-0.594879,-1.01828,1.18091,86394.54513,2001-01-01 23:59:54.545 +0000,,,,,-0.052091419,-0.583139591,-0.587306605,,-0.052044379,-0.527929882,-0.531033836
-0.062363,-0.597534,-1.113907,1.265593,86394.53534,2001-01-01 23:59:54.535 +0000,,,,,-0.04933566,-0.535592053,-0.539344411,,-0.04929569,-0.491714195,-0.494625545
-0.0896,-0.521973,-1.078842,1.201825,86394.52554,2001-01-01 23:59:54.526 +0000,,,,,-0.074761324,-0.482167055,-0.490903558,,-0.074622502,-0.449279746,-0.45634401
-0.081223,-0.441788,-0.958099,1.058172,86394.51574,2001-01-01 23:59:54.516 +0000,,,,,-0.076984983,-0.459460848,-0.468837146,,-0.076833433,-0.430693658,-0.438408004
-0.03624,-0.376099,-0.854874,0.934651,86394.50595,2001-01-01 23:59:54.506 +0000,,,,,-0.038802991,-0.439551924,-0.441984393,,-0.038783534,-0.414131413,-0.416168185
0.022217,-0.337372,-0.806091,0.874126,86394.49615,2001-01-01 23:59:54.496 +0000,,,,,0.025424459,-0.418369556,-0.41943495,,0.025418983,-0.396241225,-0.397147573
0.055725,-0.342712,-0.810806,0.882023,86394.4864,2001-01-01 23:59:54.486 +0000,,,,,0.063305151,-0.421685893,-0.428231771,,0.063220788,-0.399060223,-0.404604799
-0.007095,-0.403397,-0.843887,0.935374,86394.4766,2001-01-01 23:59:54.477 +0000,,,,,-0.007585418,-0.478005637,-0.478096462,,-0.007585273,-0.445897809,-0.445971738
-0.072983,-0.440948,-0.896576,1.001804,86394.46681,2001-01-01 23:59:54.467 +0000,,,,,-0.073045712,-0.490191908,-0.498504355,,-0.072916211,-0.455770393,-0.462450377
-0.066177,-0.427841,-0.91037,1.008068,86394.45701,2001-01-01 23:59:54.457 +0000,,,,,-0.06578928,-0.468727072,-0.47555254,,-0.065694609,-0.438317762,-0.443899063
-0.045242,-0.437088,-0.907181,1.008003,86394.44722,2001-01-01 23:59:54.447 +0000,,,,,-0.044928077,-0.481210991,-0.484383173,,-0.044897884,-0.448503735,-0.451076276
-0.046783,-0.47229,-0.902649,1.019815,86394.43742,2001-01-01 23:59:54.437 +0000,,,,,-0.045922373,-0.522525303,-0.525787327,,-0.045890132,-0.481505038,-0.48406401
-0.002808,-0.448257,-0.86496,0.974217,86394.42762,2001-01-01 23:59:54.428 +0000,,,,,-0.002882328,-0.518237419,-0.518250318,,-0.00288232,-0.478130869,-0.478141037
0.037506,-0.439697,-0.855362,0.962489,86394.41783,2001-01-01 23:59:54.418 +0000,,,,,0.038997354,-0.513554396,-0.515914578,,0.038977603,-0.474432234,-0.476298061
0.034058,-0.429214,-0.892975,0.991357,86394.40803,2001-01-01 23:59:54.408 +0000,,,,,0.034375217,-0.48030702,-0.482167055,,0.034361687,-0.447769474,-0.449279746
