x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date
-0.375488,1.009827,-0.444672,1.165536,45515.3695,2001-01-01 12:38:35.369 +0000
-0.33226,0.942551,-0.513947,1.123806,45515.3499,2001-01-01 12:38:35.350 +0000
-0.323853,0.862442,-0.57637,1.086687,45515.33031,2001-01-01 12:38:35.330 +0000
-0.34201,0.805847,-0.658371,1.09536,45515.31072,2001-01-01 12:38:35.311 +0000
-0.341965,0.792892,-0.739594,1.136933,45515.29116,2001-01-01 12:38:35.291 +0000
-0.353638,0.818649,-0.731689,1.153523,45515.27157,2001-01-01 12:38:35.272 +0000
-0.38739,0.822281,-0.66925,1.128766,45515.25197,2001-01-01 12:38:35.252 +0000
-0.418854,0.850464,-0.59552,1.119541,45515.23238,2001-01-01 12:38:35.232 +0000
-0.461655,0.906158,-0.527039,1.145433,45515.21279,2001-01-01 12:38:35.213 +0000
-0.509781,0.971985,-0.480011,1.197932,45515.1932,2001-01-01 12:38:35.193 +0000
-0.562531,1.046936,-0.415146,1.258913,45515.1736,2001-01-01 12:38:35.174 +0000
-0.622803,1.131607,-0.362137,1.341477,45515.15401,2001-01-01 12:38:35.154 +0000
-0.714569,1.233337,-0.383713,1.476132,45515.13445,2001-01-01 12:38:35.134 +0000
-0.821838,1.354172,-0.436813,1.643169,45515.11486,2001-01-01 12:38:35.115 +0000
-0.876312,1.573761,-0.435989,1.853303,45515.09526,2001-01-01 12:38:35.095 +0000
-0.887283,1.806961,-0.363968,2.045691,45515.07567,2001-01-01 12:38:35.076 +0000
-0.881226,2.032013,-0.335938,2.240198,45515.05608,2001-01-01 12:38:35.056 +0000
-0.889877,2.284882,-0.313278,2.471985,45515.03649,2001-01-01 12:38:35.036 +0000
-0.906265,2.507156,-0.2202,2.675002,45515.0169,2001-01-01 12:38:35.017 +0000
-0.9095,2.570938,-0.079544,2.72823,45514.9973,2001-01-01 12:38:34.997 +0000
-0.945618,2.533569,0.06102,2.704975,45514.97774,2001-01-01 12:38:34.978 +0000
-0.897232,2.299164,0.128616,2.471381,45514.95815,2001-01-01 12:38:34.958 +0000
-0.798157,2.050644,0.143326,2.205161,45514.93856,2001-01-01 12:38:34.939 +0000
-0.739487,1.801865,0.179901,1.955996,45514.91896,2001-01-01 12:38:34.919 +0000
-0.722549,1.544205,0.208878,1.717637,45514.89937,2001-01-01 12:38:34.899 +0000
-0.688492,1.325958,0.198898,1.507232,45514.87978,2001-01-01 12:38:34.880 +0000
-0.631561,1.107193,0.217819,1.293132,45514.86019,2001-01-01 12:38:34.860 +0000
-0.540573,0.921295,0.27655,1.103397,45514.8406,2001-01-01 12:38:34.841 +0000
-0.462509,0.759888,0.338943,0.951959,45514.82103,2001-01-01 12:38:34.821 +0000
-0.436752,0.590164,0.393631,0.833062,45514.80144,2001-01-01 12:38:34.801 +0000
-0.410065,0.447113,0.426727,0.741727,45514.78185,2001-01-01 12:38:34.782 +0000
-0.382812,0.355988,0.456558,0.694059,45514.76226,2001-01-01 12:38:34.762 +0000
-0.362411,0.342331,0.490707,0.699519,45514.74266,2001-01-01 12:38:34.743 +0000
-0.346436,0.381958,0.472214,0.699211,45514.72307,2001-01-01 12:38:34.723 +0000
-0.302826,0.447464,0.449539,0.702861,45514.70348,2001-01-01 12:38:34.703 +0000
-0.29332,0.517715,0.479553,0.764223,45514.68389,2001-01-01 12:38:34.684 +0000
-0.292191,0.604889,0.556076,0.872059,45514.66433,2001-01-01 12:38:34.664 +0000
-0.338776,0.742752,0.592667,1.008813,45514.64473,2001-01-01 12:38:34.645 +0000
-0.384247,0.882065,0.530701,1.098784,45514.62514,2001-01-01 12:38:34.625 +0000
-0.425888,1.027832,0.379807,1.175616,45514.60555,2001-01-01 12:38:34.606 +0000
-0.532761,1.275757,0.255264,1.405898,45514.58596,2001-01-01 12:38:34.586 +0000
-0.675323,1.516678,0.182617,1.670246,45514.56636,2001-01-01 12:38:34.566 +0000
-0.828751,1.773193,0.177322,1.965321,45514.54677,2001-01-01 12:38:34.547 +0000
-0.879745,1.994156,0.159256,2.1854,45514.52721,2001-01-01 12:38:34.527 +0000
-0.835831,2.020721,0.129089,2.190569,45514.50762,2001-01-01 12:38:34.508 +0000
-0.961472,2.259796,0.151581,2.460505,45514.48803,2001-01-01 12:38:34.488 +0000
-1.106659,2.475555,0.139282,2.715229,45514.46847,2001-01-01 12:38:34.468 +0000
-1.153854,2.569809,0.058548,2.817574,45514.44888,2001-01-01 12:38:34.449 +0000
-1.08342,2.541214,-0.043839,2.762877,45514.42929,2001-01-01 12:38:34.429 +0000
-0.99823,2.317337,-0.167145,2.528725,45514.4097,2001-01-01 12:38:34.410 +0000
